Markx,StationLines,subway,BannerFileName,TrainsbyStopID,Boro,StopID
,Bay Pkwy - U,Bay Pkwy,Undefined,U,Brooklyn,B21N
,Bay Ridge Av - R,Bay Ridge Av,Undefined,R,Brooklyn,R42N
,Bay Ridge-95 St - R,Bay Ridge-95 St,Undefined,R,Brooklyn,R45N
,Baychester Av - 5,Baychester Av,Undefined,5,The Bronx,502N
,Beach 105 St - AS,Beach 105 St,Undefined,AS,Queens,H14N
,Beach 25 St - A,Beach 25 St,Undefined,A,Queens,H10N
,Beach 36 St - A,Beach 36 St,Undefined,A,Queens,H09N
,Beach 44 St - A,Beach 44 St,Undefined,A,Queens,H08N
,Beach 60 St - A,Beach 60 St,Undefined,A,Queens,H07N
,Beach 67 St - A,Beach 67 St,Undefined,A,Queens,H06N
,Beach 90 St - AS,Beach 90 St,Undefined,AS,Queens,H12N
,Beach 98 St - AS,Beach 98 St,Undefined,AS,Queens,H13N
,Bedford Av - L,Bedford Av,Undefined,L,Brooklyn,L08N
,Bedford Park Blvd - BD,Bedford Park Blvd,Undefined,BD,The Bronx,D03N
,Bedford Park Blvd-Lehman College - 4,Bedford Park Blvd-Lehman College,Undefined,4,The Bronx,405N
,Bedford-Nostrand Avs - G,Bedford-Nostrand Avs,Undefined,G,Brooklyn,G33N
,Bergen St - 23,Bergen St,Undefined,23,Brooklyn,236N
,Bergen St - FG,Bergen St,Undefined,FG,Brooklyn,F20N
,Beverly Rd - 25,Beverly Rd,Undefined,25,Brooklyn,245N
,Beverly Rd - Q,Beverly Rd,Undefined,Q,Brooklyn,D29N
,Bleecker St - 6,Bleecker St,Undefined,6,Manhattan,637N
,Borough Hall - 2345,Borough Hall,Borough Hall,2345,Brooklyn,232N
,Borough Hall - 2345,Borough Hall,Undefined,2345,Brooklyn,423N
,Botanic Garden - S,Botanic Garden,Undefined,S,Brooklyn,S04N
,Bowery - JZ,Bowery,Undefined,JZ,Manhattan,M19N
,Bowling Green - 45,Bowling Green,Undefined,45,Manhattan,420N
,Briarwood - EF,Briarwood,Undefined,EF,Queens,F05N
,Brighton Beach - BQ,Brighton Beach,Undefined,BQ,Brooklyn,D40N
,Broad Channel - AS,Broad Channel,Undefined,AS,Queens,H19N
,Broad Channel - AS,Broad Channel,Undefined,AS,Queens,H04N
,Broad St - JZ,Broad St,Undefined,JZ,Manhattan,M23N
,Broadway - G,Broadway,Undefined,G,Brooklyn,G30N
,Broadway - NW,Broadway,Undefined,NW,Queens,R05N
,Broadway Junction - AC,Broadway Junction,Undefined,AC,Brooklyn,A51N
,Broadway Junction - JZ,Broadway Junction,Undefined,JZ,Brooklyn,J27N
,Broadway Junction - L,Broadway Junction,Undefined,L,Brooklyn,L22N
,Broadway-Lafayette St - BDFM,Broadway-Lafayette St,Undefined,BDFM,Manhattan,D21N
,Bronx Park East - 25,Bronx Park East,Undefined,25,The Bronx,212N
,Brook Av - 6,Brook Av,Undefined,6,The Bronx,618N
,Brooklyn Bridge-City Hall - 456,Brooklyn Bridge-City Hall,Undefined,456,Manhattan,640N
,Buhre Av - 6,Buhre Av,Undefined,6,The Bronx,602N
,Burke Av - 25,Burke Av,Undefined,25,The Bronx,209N
